IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.238.6.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,11,13.62
183.232.159.172,2052,2086,false,HKG,Asia Pacific,Hong Kong,9,10.71
47.76.32.108,2086,2086,false,HKG,Asia Pacific,Hong Kong,11,7.96
154.17.17.66,58835,443,true,HKG,Asia Pacific,Hong Kong,158,7.91
47.76.37.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,11,6.67
45.159.51.137,44255,443,true,HKG,Asia Pacific,Hong Kong,59,5.68
47.76.37.57,80,80,false,HKG,Asia Pacific,Hong Kong,12,5.40
45.159.50.210,30877,443,true,HKG,Asia Pacific,Hong Kong,58,5.38
47.238.142.35,443,443,true,HKG,Asia Pacific,Hong Kong,9,4.19
47.76.49.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,15,3.45
47.76.218.163,443,443,true,HKG,Asia Pacific,Hong Kong,9,3.27
47.76.178.146,8080,8080,false,HKG,Asia Pacific,Hong Kong,10,3.23
47.76.32.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,10,2.88
47.76.32.108,8080,8080,false,HKG,Asia Pacific,Hong Kong,10,2.61
47.76.32.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,12,2.59
103.20.222.236,34651,443,true,HKG,Asia Pacific,Hong Kong,37,2.58
47.76.178.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,11,2.40
203.9.150.104,443,443,true,HKG,Asia Pacific,Hong Kong,318,2.36
47.76.32.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,9,2.09
47.76.178.146,80,80,false,HKG,Asia Pacific,Hong Kong,11,1.84
47.76.178.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,11,1.83
47.76.37.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,11,1.70
47.76.204.76,2082,2082,false,HKG,Asia Pacific,Hong Kong,10,1.69
47.76.32.108,80,80,false,HKG,Asia Pacific,Hong Kong,10,1.67
47.76.204.76,2053,2053,true,HKG,Asia Pacific,Hong Kong,9,1.55
156.251.176.43,21806,443,true,HKG,Asia Pacific,Hong Kong,38,1.51
103.225.199.215,53881,443,true,HKG,Asia Pacific,Hong Kong,36,1.44
39.115.137.14,443,443,true,HKG,Asia Pacific,Hong Kong,51,1.33
103.115.40.133,36332,443,true,HKG,Asia Pacific,Hong Kong,14,1.30
47.76.178.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,11,1.17
47.76.178.146,8443,8443,true,HKG,Asia Pacific,Hong Kong,10,0.78
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,9,0.65
202.81.231.150,80,80,false,HKG,Asia Pacific,Hong Kong,73,0.47
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,10,0.33
101.36.122.24,19351,443,true,HKG,Asia Pacific,Hong Kong,60,0.12
165.154.43.92,35181,443,true,HKG,Asia Pacific,Hong Kong,61,0.12
165.154.64.64,8443,443,true,HKG,Asia Pacific,Hong Kong,61,0.12
101.36.111.171,34237,2096,true,HKG,Asia Pacific,Hong Kong,62,0.12
165.154.43.92,35184,443,true,HKG,Asia Pacific,Hong Kong,64,0.12
165.154.41.40,443,443,true,HKG,Asia Pacific,Hong Kong,64,0.12
39.126.44.106,37635,80,false,HKG,Asia Pacific,Hong Kong,268,0.10
103.118.244.200,27712,443,true,HKG,Asia Pacific,Hong Kong,12,0.03
38.181.35.164,36350,443,true,HKG,Asia Pacific,Hong Kong,11,0.02
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,12,0.02
38.59.254.65,34237,2096,true,HKG,Asia Pacific,Hong Kong,194,0.01
120.220.19.109,2082,2082,false,HKG,Asia Pacific,Hong Kong,49,0.00
219.76.13.183,443,443,true,HKG,Asia Pacific,Hong Kong,101,0.00
219.76.13.166,443,443,true,HKG,Asia Pacific,Hong Kong,53,0.00
47.76.178.146,2096,2096,true,HKG,Asia Pacific,Hong Kong,12,0.00
120.220.19.109,2052,2052,false,HKG,Asia Pacific,Hong Kong,42,0.00
219.76.13.181,443,443,true,HKG,Asia Pacific,Hong Kong,101,0.00
47.76.204.76,2096,2096,true,HKG,Asia Pacific,Hong Kong,11,0.00
120.220.19.103,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,0.00
43.159.196.17,443,443,true,HKG,Asia Pacific,Hong Kong,38,0.00
219.76.13.169,443,443,true,HKG,Asia Pacific,Hong Kong,53,0.00
221.127.50.207,443,443,true,HKG,Asia Pacific,Hong Kong,337,0.00
219.76.13.180,443,443,true,HKG,Asia Pacific,Hong Kong,54,0.00
219.76.13.186,443,443,true,HKG,Asia Pacific,Hong Kong,82,0.00
47.76.37.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,11,0.00
219.76.13.164,443,443,true,HKG,Asia Pacific,Hong Kong,53,0.00
47.76.49.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,15,0.00
152.32.190.205,37766,443,true,HKG,Asia Pacific,Hong Kong,62,0.00
47.76.178.146,8880,8880,false,HKG,Asia Pacific,Hong Kong,12,0.00
47.76.178.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,11,0.00
23.247.139.48,30809,80,false,HKG,Asia Pacific,Hong Kong,9,0.00
