IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
91.149.239.234,443,443,true,LAX,North America,Los Angeles,212,6.52
154.17.1.19,25566,443,true,LAX,North America,Los Angeles,155,6.32
154.17.29.112,32568,443,true,LAX,North America,Los Angeles,158,5.85
185.238.250.168,31445,443,true,LAX,North America,Los Angeles,161,5.64
154.21.92.2,36433,443,true,LAX,North America,Los Angeles,161,5.47
154.17.224.140,35940,443,true,LAX,North America,Los Angeles,158,5.37
91.149.239.122,443,443,true,LAX,North America,Los Angeles,163,5.27
104.167.247.188,8648,443,true,LAX,North America,Los Angeles,155,4.16
5.181.219.103,16238,443,true,LAX,North America,Los Angeles,158,3.79
172.247.129.59,34237,2096,true,LAX,North America,Los Angeles,163,3.70
38.181.44.156,36687,443,true,LAX,North America,Los Angeles,165,3.70
91.149.239.238,443,443,true,LAX,North America,Los Angeles,162,3.68
23.166.168.8,42126,443,true,LAX,North America,Los Angeles,161,3.66
154.17.25.7,50376,443,true,LAX,North America,Los Angeles,165,3.65
45.12.88.200,48575,443,true,LAX,North America,Los Angeles,162,3.63
154.17.230.139,443,443,true,LAX,North America,Los Angeles,164,3.61
154.23.244.23,39777,443,true,LAX,North America,Los Angeles,161,3.59
154.17.10.111,14515,443,true,LAX,North America,Los Angeles,154,3.57
23.224.33.64,10956,443,true,LAX,North America,Los Angeles,186,3.53
192.210.187.72,443,443,true,LAX,North America,Los Angeles,188,3.50
35.244.203.169,80,80,false,LAX,North America,Los Angeles,163,3.45
38.49.38.178,443,443,true,LAX,North America,Los Angeles,162,3.38
154.17.226.32,62096,443,true,LAX,North America,Los Angeles,157,3.35
212.103.62.244,19560,443,true,LAX,North America,Los Angeles,172,3.32
154.17.229.193,58847,443,true,LAX,North America,Los Angeles,160,3.32
154.17.16.155,38548,443,true,LAX,North America,Los Angeles,160,3.30
154.21.90.125,24277,443,true,LAX,North America,Los Angeles,165,3.30
154.17.227.69,10000,443,true,LAX,North America,Los Angeles,157,3.26
154.17.22.88,30861,443,true,LAX,North America,Los Angeles,164,3.23
45.140.88.163,22593,443,true,LAX,North America,Los Angeles,160,3.20
154.29.144.83,12317,2095,false,LAX,North America,Los Angeles,180,3.16
154.64.225.139,30371,443,true,LAX,North America,Los Angeles,159,2.81
23.166.168.67,13117,443,true,LAX,North America,Los Angeles,158,2.78
2.59.151.85,35666,443,true,LAX,North America,Los Angeles,161,2.77
45.91.81.45,37070,443,true,LAX,North America,Los Angeles,161,2.66
154.21.94.58,14280,443,true,LAX,North America,Los Angeles,165,2.64
185.238.248.71,56918,443,true,LAX,North America,Los Angeles,160,2.62
154.17.229.171,12601,443,true,LAX,North America,Los Angeles,164,2.62
154.17.226.204,31380,443,true,LAX,North America,Los Angeles,164,2.54
38.147.165.204,25566,443,true,LAX,North America,Los Angeles,163,2.49
154.17.229.161,48960,443,true,LAX,North America,Los Angeles,165,2.39
207.60.50.24,8443,443,true,LAX,North America,Los Angeles,163,2.37
207.60.50.14,8443,443,true,LAX,North America,Los Angeles,162,2.34
154.12.39.241,13789,443,true,LAX,North America,Los Angeles,166,2.33
2.59.151.192,34765,443,true,LAX,North America,Los Angeles,174,2.29
154.17.230.128,51888,443,true,LAX,North America,Los Angeles,159,2.22
118.26.39.145,80,80,false,LAX,North America,Los Angeles,202,2.22
103.94.185.7,35586,443,true,LAX,North America,Los Angeles,162,2.15
152.32.211.127,80,80,false,LAX,North America,Los Angeles,203,2.14
103.99.178.62,16144,443,true,LAX,North America,Los Angeles,158,2.06
154.17.224.225,456,443,true,LAX,North America,Los Angeles,161,1.94
202.91.35.102,27911,443,true,LAX,North America,Los Angeles,174,1.90
104.167.247.176,28619,443,true,LAX,North America,Los Angeles,159,1.90
23.165.40.187,50003,443,true,LAX,North America,Los Angeles,161,1.86
154.21.91.92,10000,443,true,LAX,North America,Los Angeles,160,1.82
152.32.239.228,80,80,false,LAX,North America,Los Angeles,198,1.82
154.17.231.71,28238,443,true,LAX,North America,Los Angeles,163,1.81
45.91.81.203,8081,443,true,LAX,North America,Los Angeles,162,1.73
38.60.89.113,44844,443,true,LAX,North America,Los Angeles,161,1.73
149.88.88.55,24902,443,true,LAX,North America,Los Angeles,155,1.70
185.194.148.227,27047,443,true,LAX,North America,Los Angeles,161,1.66
91.217.139.121,8443,443,true,LAX,North America,Los Angeles,185,1.58
154.21.88.43,18328,443,true,LAX,North America,Los Angeles,153,1.51
154.17.21.134,18446,443,true,LAX,North America,Los Angeles,166,1.49
34.111.135.19,80,80,false,LAX,North America,Los Angeles,165,1.45
2.56.255.97,34237,2096,true,LAX,North America,Los Angeles,174,1.40
154.12.39.241,41847,443,true,LAX,North America,Los Angeles,165,1.29
154.23.207.84,45498,443,true,LAX,North America,Los Angeles,172,1.21
2.59.151.128,33557,443,true,LAX,North America,Los Angeles,165,1.17
91.217.139.94,34237,2096,true,LAX,North America,Los Angeles,161,1.14
2.59.151.192,25462,443,true,LAX,North America,Los Angeles,159,1.05
154.17.19.203,32826,443,true,LAX,North America,Los Angeles,163,1.04
2.59.151.192,29924,443,true,LAX,North America,Los Angeles,172,0.97
38.174.113.142,443,443,true,LAX,North America,Los Angeles,162,0.92
38.55.61.76,30580,443,true,LAX,North America,Los Angeles,155,0.88
154.23.241.9,13725,443,true,LAX,North America,Los Angeles,161,0.73
72.13.122.137,443,443,true,LAX,North America,Los Angeles,172,0.67
172.247.21.125,443,443,true,LAX,North America,Los Angeles,159,0.62
23.224.33.238,19595,443,true,LAX,North America,Los Angeles,197,0.53
154.17.231.71,33525,443,true,LAX,North America,Los Angeles,163,0.49
107.172.98.6,443,443,true,LAX,North America,Los Angeles,159,0.39
104.167.247.188,8548,443,true,LAX,North America,Los Angeles,162,0.35
154.17.224.140,26138,443,true,LAX,North America,Los Angeles,162,0.33
101.36.119.145,443,443,true,LAX,North America,Los Angeles,202,0.22
216.38.168.34,16384,443,true,LAX,North America,Los Angeles,183,0.22
154.17.23.129,13551,443,true,LAX,North America,Los Angeles,163,0.21
154.39.79.251,10880,443,true,LAX,North America,Los Angeles,158,0.19
154.21.88.85,11843,443,true,LAX,North America,Los Angeles,161,0.00
154.23.244.100,56529,443,true,LAX,North America,Los Angeles,160,0.00
154.21.88.85,14257,443,true,LAX,North America,Los Angeles,158,0.00
154.17.231.85,24002,443,true,LAX,North America,Los Angeles,160,0.00
199.180.155.172,443,443,true,LAX,North America,Los Angeles,172,0.00
20.14.93.89,2053,8443,true,LAX,North America,Los Angeles,194,0.00
154.21.88.85,19865,443,true,LAX,North America,Los Angeles,161,0.00
