IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.98.197.101,11665,443,true,NRT,Asia Pacific,Tokyo,133,6.07
176.119.150.112,36537,443,true,NRT,Asia Pacific,Tokyo,58,6.00
147.78.247.212,30582,443,true,NRT,Asia Pacific,Tokyo,57,5.95
109.107.137.56,38782,443,true,NRT,Asia Pacific,Tokyo,131,5.95
103.117.102.7,45459,443,true,NRT,Asia Pacific,Tokyo,54,5.77
154.12.190.69,19834,443,true,NRT,Asia Pacific,Tokyo,54,4.76
8.219.66.156,2086,2086,false,NRT,Asia Pacific,Tokyo,328,4.63
146.56.132.247,443,443,true,NRT,Asia Pacific,Tokyo,47,4.12
138.2.18.184,80,80,false,NRT,Asia Pacific,Tokyo,69,3.72
141.98.196.180,36257,443,true,NRT,Asia Pacific,Tokyo,131,3.70
8.219.153.237,2087,2087,true,NRT,Asia Pacific,Tokyo,341,3.50
8.219.66.156,2096,2096,true,NRT,Asia Pacific,Tokyo,335,3.45
54.199.224.90,443,443,true,NRT,Asia Pacific,Tokyo,54,3.38
8.219.153.237,8880,8880,false,NRT,Asia Pacific,Tokyo,334,3.31
172.93.221.36,7788,443,true,NRT,Asia Pacific,Tokyo,140,3.20
8.219.153.237,2083,2083,true,NRT,Asia Pacific,Tokyo,332,3.12
149.62.44.233,41165,443,true,NRT,Asia Pacific,Tokyo,130,2.97
103.20.199.101,33003,443,true,NRT,Asia Pacific,Tokyo,54,2.93
8.219.153.237,2053,2053,true,NRT,Asia Pacific,Tokyo,334,2.87
43.239.249.177,4320,443,true,NRT,Asia Pacific,Tokyo,156,2.86
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,326,2.77
8.219.66.156,8880,8880,false,NRT,Asia Pacific,Tokyo,326,2.53
45.143.234.226,810,443,true,NRT,Asia Pacific,Tokyo,130,1.51
45.143.233.28,36605,443,true,NRT,Asia Pacific,Tokyo,129,1.20
45.66.129.253,37047,443,true,NRT,Asia Pacific,Tokyo,57,1.08
193.32.151.115,443,443,true,NRT,Asia Pacific,Tokyo,131,1.07
45.60.186.91,2052,2052,false,NRT,Asia Pacific,Tokyo,55,0.93
52.199.255.205,8443,443,true,NRT,Asia Pacific,Tokyo,54,0.89
47.236.125.62,8880,8880,false,NRT,Asia Pacific,Tokyo,333,0.80
45.60.186.91,2082,2082,false,NRT,Asia Pacific,Tokyo,54,0.76
45.60.186.91,443,443,true,NRT,Asia Pacific,Tokyo,54,0.64
47.236.125.62,2052,2052,false,NRT,Asia Pacific,Tokyo,340,0.62
47.236.125.62,2095,2095,false,NRT,Asia Pacific,Tokyo,328,0.60
47.236.125.62,8080,8080,false,NRT,Asia Pacific,Tokyo,335,0.58
47.236.125.62,2087,2087,true,NRT,Asia Pacific,Tokyo,339,0.55
195.245.242.237,54066,443,true,NRT,Asia Pacific,Tokyo,127,0.53
45.159.48.42,34237,2096,true,NRT,Asia Pacific,Tokyo,130,0.30
47.236.125.62,2086,2086,false,NRT,Asia Pacific,Tokyo,334,0.27
45.142.166.55,22388,443,true,NRT,Asia Pacific,Tokyo,130,0.00
54.248.121.219,443,443,true,NRT,Asia Pacific,Tokyo,57,0.00
