IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.17.193,2083,2083,true,SIN,Asia Pacific,Singapore,252,6.69
47.237.95.13,8880,0,false,SIN,Asia Pacific,Singapore,275,5.54
8.219.220.88,8080,8080,false,SIN,Asia Pacific,Singapore,253,5.34
47.128.255.240,443,443,true,SIN,Asia Pacific,Singapore,49,5.25
47.237.92.26,8880,8880,false,SIN,Asia Pacific,Singapore,255,5.20
47.236.117.48,80,0,false,SIN,Asia Pacific,Singapore,253,5.02
47.236.5.223,8880,0,false,SIN,Asia Pacific,Singapore,268,4.86
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,251,4.83
47.236.165.25,8880,8880,false,SIN,Asia Pacific,Singapore,250,4.76
47.237.86.185,2053,2053,true,SIN,Asia Pacific,Singapore,255,4.72
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,250,4.67
47.236.5.223,80,0,false,SIN,Asia Pacific,Singapore,265,4.63
47.237.95.146,8880,8880,false,SIN,Asia Pacific,Singapore,247,4.61
47.236.130.95,2053,2053,true,SIN,Asia Pacific,Singapore,269,4.59
47.236.202.91,2082,0,false,SIN,Asia Pacific,Singapore,266,4.55
47.236.75.152,8080,8080,false,SIN,Asia Pacific,Singapore,254,4.51
47.236.202.91,80,0,false,SIN,Asia Pacific,Singapore,274,4.50
47.236.144.156,2086,2086,false,SIN,Asia Pacific,Singapore,253,4.47
47.236.202.91,8080,0,false,SIN,Asia Pacific,Singapore,266,4.46
47.236.232.148,80,80,false,SIN,Asia Pacific,Singapore,264,4.43
47.237.14.220,2052,0,false,SIN,Asia Pacific,Singapore,266,4.36
47.237.82.15,2053,0,true,SIN,Asia Pacific,Singapore,250,4.32
47.236.102.102,2052,2052,false,SIN,Asia Pacific,Singapore,266,4.32
34.143.216.48,8443,443,true,SIN,Asia Pacific,Singapore,59,4.29
47.236.253.41,2052,2052,false,SIN,Asia Pacific,Singapore,252,4.28
47.236.93.176,2086,2086,false,SIN,Asia Pacific,Singapore,251,4.20
47.237.11.182,80,80,false,SIN,Asia Pacific,Singapore,318,4.10
47.237.92.26,2053,2053,true,SIN,Asia Pacific,Singapore,253,4.05
47.236.5.223,2086,0,false,SIN,Asia Pacific,Singapore,269,4.03
47.237.100.206,8080,8080,false,SIN,Asia Pacific,Singapore,256,3.99
47.236.164.215,2082,0,false,SIN,Asia Pacific,Singapore,269,3.99
47.239.12.227,80,443,true,SIN,Asia Pacific,Singapore,9,3.95
47.236.169.15,2086,2086,false,SIN,Asia Pacific,Singapore,252,3.90
47.236.80.110,2052,2052,false,SIN,Asia Pacific,Singapore,247,3.89
47.238.41.59,80,443,true,SIN,Asia Pacific,Singapore,10,3.89
47.237.92.26,2086,2086,false,SIN,Asia Pacific,Singapore,255,3.88
47.238.36.250,80,443,true,SIN,Asia Pacific,Singapore,10,3.81
47.237.8.82,2086,0,false,SIN,Asia Pacific,Singapore,262,3.79
47.236.17.193,8080,8080,false,SIN,Asia Pacific,Singapore,255,3.78
47.236.172.71,2087,2087,true,SIN,Asia Pacific,Singapore,251,3.77
47.237.82.15,2052,2052,false,SIN,Asia Pacific,Singapore,251,3.75
47.236.170.54,2086,2086,false,SIN,Asia Pacific,Singapore,255,3.71
47.236.145.85,80,80,false,SIN,Asia Pacific,Singapore,252,3.66
47.237.125.8,2052,0,false,SIN,Asia Pacific,Singapore,269,3.66
47.237.94.140,2082,2082,false,SIN,Asia Pacific,Singapore,255,3.65
47.236.83.239,8880,8880,false,SIN,Asia Pacific,Singapore,259,3.55
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,255,3.52
47.236.189.92,2083,2083,true,SIN,Asia Pacific,Singapore,269,3.49
47.236.170.54,2052,2052,false,SIN,Asia Pacific,Singapore,254,3.48
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,254,3.38
47.236.123.133,2052,2052,false,SIN,Asia Pacific,Singapore,244,3.32
