IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.238.43.79,2096,2096,true,HKG,Asia Pacific,Hong Kong,8,21.79
8.210.34.188,8443,8443,true,HKG,Asia Pacific,Hong Kong,11,18.81
47.76.222.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,12,16.72
8.210.34.188,8080,8080,false,HKG,Asia Pacific,Hong Kong,11,15.88
47.238.40.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,14,15.75
47.76.189.102,2086,2086,false,HKG,Asia Pacific,Hong Kong,14,15.52
47.238.40.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,15,14.54
47.237.11.182,2095,2095,false,SIN,Asia Pacific,Singapore,248,13.88
47.236.167.231,2087,2087,true,SIN,Asia Pacific,Singapore,250,12.85
47.237.95.146,80,80,false,SIN,Asia Pacific,Singapore,249,12.79
8.219.87.30,2082,2082,false,SIN,Asia Pacific,Singapore,251,12.37
47.76.189.102,80,80,false,HKG,Asia Pacific,Hong Kong,14,12.34
8.210.34.188,2083,2083,true,HKG,Asia Pacific,Hong Kong,12,12.34
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,251,12.20
47.236.189.92,2052,2052,false,SIN,Asia Pacific,Singapore,249,12.08
8.219.67.133,80,80,false,SIN,Asia Pacific,Singapore,245,11.97
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,250,11.79
8.222.183.242,8443,8443,true,SIN,Asia Pacific,Singapore,248,11.70
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,245,11.62
8.218.181.189,2082,2082,false,HKG,Asia Pacific,Hong Kong,11,11.54
47.236.232.148,80,80,false,SIN,Asia Pacific,Singapore,248,11.37
8.219.87.30,2086,2086,false,SIN,Asia Pacific,Singapore,244,11.36
47.236.17.193,80,80,false,SIN,Asia Pacific,Singapore,246,11.33
8.219.191.40,2087,2087,true,SIN,Asia Pacific,Singapore,252,11.31
47.236.17.193,2086,2086,false,SIN,Asia Pacific,Singapore,249,11.28
47.237.8.82,2083,2083,true,SIN,Asia Pacific,Singapore,247,11.11
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,254,11.11
47.237.86.185,2086,2086,false,SIN,Asia Pacific,Singapore,250,11.09
47.237.95.140,2086,2086,false,SIN,Asia Pacific,Singapore,247,11.06
47.236.118.216,2096,2096,true,SIN,Asia Pacific,Singapore,249,10.98
8.218.181.189,8880,8880,false,HKG,Asia Pacific,Hong Kong,13,10.86
